release_order,current_path,proposed_release_path,workflow,status,tracked_in_initial_repository,file_size_bytes,generating_script,manuscript_use,zenodo_recommendation,recommendation_reason,dependencies,hard_coded_path_risk
75,out/bayes_vs_ml_postprocessing_v2p1/spearman_by_analyte_treatment_raw.csv,results/comparison/v2p1/spearman_by_analyte_treatment_raw.csv,comparison,final,False,2220,code/bayes_ml_postprocessing_v2p1.py,Temporal agreement table,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
76,out/bayes_vs_ml_postprocessing_v2p1/study_period_cumulative_loads_raw.csv,results/comparison/v2p1/study_period_cumulative_loads_raw.csv,comparison,final,False,42336,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
77,out/bayes_vs_ml_postprocessing_v2p1/treatment_differences_vs_ct_raw.csv,results/comparison/v2p1/treatment_differences_vs_ct_raw.csv,comparison,final,False,21273,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
78,out/bayes_vs_ml_postprocessing_v2p1/unit_of_analysis_audit.csv,results/comparison/v2p1/unit_of_analysis_audit.csv,comparison,diagnostic,False,883,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
79,out/bayes_vs_ml_postprocessing_v2p1/validation_checks.csv,results/comparison/v2p1/validation_checks.csv,comparison,final,False,1304,code/bayes_ml_postprocessing_v2p1.py,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Saved Bayes/ML artifacts; code/bayes_ml_postprocessing_v2p1.py,low: data/result path is consumed by scripts or manifests
80,tests/test_bayes_ml_postprocessing_v2p1.py,tests/test_bayes_ml_postprocessing_v2p1.py,comparison,final,False,7398,See workflow documentation,comparison methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Python; see workflow README and environment metadata,high: update relative input/output references before moving
81,code/ml_catboost_conformal_loyo.py,code/ml/ml_catboost_conformal_loyo.py,ML,final,True,36836,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,ML methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Python; see workflow README and environment metadata,high: update relative input/output references before moving
82,code/ml_catboost_conformal_loyo_v2_eventlevel.py,code/ml/ml_catboost_conformal_loyo_v2_eventlevel.py,ML,final,True,56301,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,ML methods/results support,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Python; see workflow README and environment metadata,high: update relative input/output references before moving
83,code/ml_postprocess_plots.py,code/ml/ml_postprocess_plots.py,ML,active,True,27626,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Python; see workflow README and environment metadata,high: update relative input/output references before moving
84,code/ml_postprocess_plots_v2_eventlevel.py,code/ml/ml_postprocess_plots_v2_eventlevel.py,ML,active,True,17443,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Python; see workflow README and environment metadata,high: update relative input/output references before moving
85,code/ml_regenerate_from_saved_models.py,code/ml/ml_regenerate_from_saved_models.py,ML,active,True,15731,See workflow documentation,Repository/reproducibility support or no direct manuscript use,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",Python; see workflow README and environment metadata,high: update relative input/output references before moving
86,figs/ml_catboost_conformal_loyo/annual_load_ammonium(nh4)_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_ammonium(nh4)_obs_vs_ml.jpg,ML,final,True,156412,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
87,figs/ml_catboost_conformal_loyo/annual_load_ammonium(nh4)_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_ammonium(nh4)_obs_vs_ml_imputed.jpg,ML,final,True,169993,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
88,figs/ml_catboost_conformal_loyo/annual_load_ammonium_nh4_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_ammonium_nh4_obs_vs_ml.jpg,ML,final,True,150140,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
89,figs/ml_catboost_conformal_loyo/annual_load_ammonium_nh4_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_ammonium_nh4_obs_vs_ml.png,ML,final,True,177427,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
90,figs/ml_catboost_conformal_loyo/annual_load_ammonium_nh4_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_ammonium_nh4_obs_vs_ml_imputed.jpg,ML,final,True,168575,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
91,figs/ml_catboost_conformal_loyo/annual_load_ammonium_nh4_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_ammonium_nh4_obs_vs_ml_imputed.png,ML,final,True,312301,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
92,figs/ml_catboost_conformal_loyo/annual_load_icp_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_icp_obs_vs_ml.jpg,ML,final,True,161124,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
93,figs/ml_catboost_conformal_loyo/annual_load_icp_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_icp_obs_vs_ml.png,ML,final,True,271992,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
94,figs/ml_catboost_conformal_loyo/annual_load_icp_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_icp_obs_vs_ml_imputed.jpg,ML,final,True,171252,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
95,figs/ml_catboost_conformal_loyo/annual_load_icp_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_icp_obs_vs_ml_imputed.png,ML,final,True,326455,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
96,figs/ml_catboost_conformal_loyo/annual_load_nitrate_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_nitrate_obs_vs_ml.jpg,ML,final,True,181233,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
97,figs/ml_catboost_conformal_loyo/annual_load_nitrate_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_nitrate_obs_vs_ml.png,ML,final,True,378644,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
98,figs/ml_catboost_conformal_loyo/annual_load_nitrate_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_nitrate_obs_vs_ml_imputed.jpg,ML,final,True,195121,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
99,figs/ml_catboost_conformal_loyo/annual_load_nitrate_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_nitrate_obs_vs_ml_imputed.png,ML,final,True,434922,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
100,figs/ml_catboost_conformal_loyo/annual_load_nitratenitrite_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_nitratenitrite_obs_vs_ml_imputed.jpg,ML,final,True,174944,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
101,figs/ml_catboost_conformal_loyo/annual_load_nitratenitrite_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_nitratenitrite_obs_vs_ml_imputed.png,ML,final,True,363538,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
102,figs/ml_catboost_conformal_loyo/annual_load_nitrite_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_nitrite_obs_vs_ml.jpg,ML,final,True,161968,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
103,figs/ml_catboost_conformal_loyo/annual_load_nitrite_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_nitrite_obs_vs_ml.png,ML,final,True,218090,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
104,figs/ml_catboost_conformal_loyo/annual_load_nitrite_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_nitrite_obs_vs_ml_imputed.jpg,ML,final,True,169452,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
105,figs/ml_catboost_conformal_loyo/annual_load_nitrite_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_nitrite_obs_vs_ml_imputed.png,ML,final,True,291110,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
106,figs/ml_catboost_conformal_loyo/annual_load_npoc_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_npoc_obs_vs_ml.jpg,ML,final,True,128416,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
107,figs/ml_catboost_conformal_loyo/annual_load_npoc_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_npoc_obs_vs_ml.png,ML,final,True,93425,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
108,figs/ml_catboost_conformal_loyo/annual_load_npoc_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_npoc_obs_vs_ml_imputed.jpg,ML,final,True,177828,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
109,figs/ml_catboost_conformal_loyo/annual_load_npoc_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_npoc_obs_vs_ml_imputed.png,ML,final,True,375517,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
110,figs/ml_catboost_conformal_loyo/annual_load_orthop_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_orthop_obs_vs_ml.jpg,ML,final,True,173721,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
111,figs/ml_catboost_conformal_loyo/annual_load_orthop_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_orthop_obs_vs_ml.png,ML,final,True,350325,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
112,figs/ml_catboost_conformal_loyo/annual_load_orthop_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_orthop_obs_vs_ml_imputed.jpg,ML,final,True,169671,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
113,figs/ml_catboost_conformal_loyo/annual_load_orthop_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_orthop_obs_vs_ml_imputed.png,ML,final,True,294710,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
114,figs/ml_catboost_conformal_loyo/annual_load_selenium_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_selenium_obs_vs_ml.jpg,ML,final,True,137026,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
115,figs/ml_catboost_conformal_loyo/annual_load_selenium_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_selenium_obs_vs_ml.png,ML,final,True,166022,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
116,figs/ml_catboost_conformal_loyo/annual_load_selenium_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_selenium_obs_vs_ml_imputed.jpg,ML,final,True,165596,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
117,figs/ml_catboost_conformal_loyo/annual_load_selenium_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_selenium_obs_vs_ml_imputed.png,ML,final,True,291846,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
118,figs/ml_catboost_conformal_loyo/annual_load_tds_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_tds_obs_vs_ml.jpg,ML,final,True,157146,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
119,figs/ml_catboost_conformal_loyo/annual_load_tds_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_tds_obs_vs_ml.png,ML,final,True,235844,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
120,figs/ml_catboost_conformal_loyo/annual_load_tds_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_tds_obs_vs_ml_imputed.jpg,ML,final,True,141438,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
121,figs/ml_catboost_conformal_loyo/annual_load_tds_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_tds_obs_vs_ml_imputed.png,ML,final,True,168049,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
122,figs/ml_catboost_conformal_loyo/annual_load_tkn_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_tkn_obs_vs_ml.jpg,ML,final,True,165915,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
123,figs/ml_catboost_conformal_loyo/annual_load_tkn_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_tkn_obs_vs_ml.png,ML,final,True,295435,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
124,figs/ml_catboost_conformal_loyo/annual_load_tkn_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_tkn_obs_vs_ml_imputed.jpg,ML,final,True,178642,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
125,figs/ml_catboost_conformal_loyo/annual_load_tkn_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_tkn_obs_vs_ml_imputed.png,ML,final,True,348715,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
126,figs/ml_catboost_conformal_loyo/annual_load_totaln_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_totaln_obs_vs_ml.jpg,ML,final,True,163403,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
127,figs/ml_catboost_conformal_loyo/annual_load_totaln_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_totaln_obs_vs_ml.png,ML,final,True,264427,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
128,figs/ml_catboost_conformal_loyo/annual_load_totaln_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_totaln_obs_vs_ml_imputed.jpg,ML,final,True,182780,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
129,figs/ml_catboost_conformal_loyo/annual_load_totaln_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_totaln_obs_vs_ml_imputed.png,ML,final,True,396595,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
130,figs/ml_catboost_conformal_loyo/annual_load_totalp_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_totalp_obs_vs_ml.jpg,ML,final,True,156287,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
131,figs/ml_catboost_conformal_loyo/annual_load_totalp_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_totalp_obs_vs_ml.png,ML,final,True,259970,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
132,figs/ml_catboost_conformal_loyo/annual_load_totalp_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_totalp_obs_vs_ml_imputed.jpg,ML,final,True,135456,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
133,figs/ml_catboost_conformal_loyo/annual_load_totalp_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_totalp_obs_vs_ml_imputed.png,ML,final,True,185439,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
134,figs/ml_catboost_conformal_loyo/annual_load_tsp_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_tsp_obs_vs_ml.jpg,ML,final,True,153061,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
135,figs/ml_catboost_conformal_loyo/annual_load_tsp_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_tsp_obs_vs_ml.png,ML,final,True,170727,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
136,figs/ml_catboost_conformal_loyo/annual_load_tsp_obs_vs_ml_imputed.jpg,figures/ml/catboost_loyo/annual_load_tsp_obs_vs_ml_imputed.jpg,ML,final,True,169087,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
137,figs/ml_catboost_conformal_loyo/annual_load_tsp_obs_vs_ml_imputed.png,figures/ml/catboost_loyo/annual_load_tsp_obs_vs_ml_imputed.png,ML,final,True,322679,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
138,figs/ml_catboost_conformal_loyo/annual_load_tss_obs_vs_ml.jpg,figures/ml/catboost_loyo/annual_load_tss_obs_vs_ml.jpg,ML,final,True,149796,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
139,figs/ml_catboost_conformal_loyo/annual_load_tss_obs_vs_ml.png,figures/ml/catboost_loyo/annual_load_tss_obs_vs_ml.png,ML,final,True,230819,code/ml_catboost_conformal_loyo_v2_eventlevel.py or code/ml_postprocess_plots_v2_eventlevel.py,Candidate figure or diagnostic visual,include,"Active source, input, validated result, diagnostic required for interpretation, or release documentation.",See generating script and workflow README,low: data/result path is consumed by scripts or manifests
