,,,,,,,,,,,,Concentrations,,,,,,,,,,,,,,Flow and Method,,,,,Load,,,,,,,,,,,,,,,,
8/31/2015,2015,6,1,MT,INF,INF-05-GB,FALSE,FALSE,FALSE,NA,FALSE,0.01,0.04,NA,0.263,7.92,NA,NA,8.524,U,NA,NA,NA,NA,30,108241.61,GB,7.0 L Bucket,Siphon,NA,1082.416,4329.664,#VALUE!,28467.543,857273.551,#VALUE!,#VALUE!,922651.484,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3247248.3,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Original NH4 value, -.05, changed to U"
8/31/2015,2015,6,1,ST,INF,INF-05-GB,FALSE,FALSE,FALSE,NA,FALSE,0.01,0.04,NA,0.263,7.92,NA,NA,8.524,U,NA,NA,NA,NA,30,104320.83,GB,7.0 L Bucket,Siphon,NA,1043.208,4172.833,#VALUE!,27436.378,826220.974,#VALUE!,#VALUE!,889230.755,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3129624.9,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Original NH4 value, -.05, changed to U"
9/1/2015,2015,6,2,CT,INF,INF-05-GB,FALSE,FALSE,FALSE,NA,FALSE,0.01,0.04,NA,0.263,7.92,NA,NA,8.524,U,NA,NA,NA,NA,30,110566.73,GB,7.0 L Bucket,Siphon,NA,1105.667,4422.669,#VALUE!,29079.05,875688.502,#VALUE!,#VALUE!,942470.807,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3317001.9,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Original NH4 value, -.05, changed to U"
9/1/2015,2015,6,2,MT,INF,INF-05-GB,FALSE,FALSE,FALSE,NA,FALSE,0.01,0.04,NA,0.263,7.92,NA,NA,8.524,U,NA,NA,NA,NA,30,113898.31,GB,7.0 L Bucket,Siphon,NA,1138.983,4555.932,#VALUE!,29955.256,902074.615,#VALUE!,#VALUE!,970869.194,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3416949.3,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Original NH4 value, -.05, changed to U"
9/1/2015,2015,6,2,ST,INF,INF-05-GB,FALSE,FALSE,FALSE,NA,FALSE,0.01,0.04,NA,0.263,7.92,NA,NA,8.524,U,NA,NA,NA,NA,30,112993.93,GB,7.0 L Bucket,Siphon,NA,1129.939,4519.757,#VALUE!,29717.404,894911.926,#VALUE!,#VALUE!,963160.259,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3389817.9,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Original NH4 value, -.05, changed to U"
8/31/2015,2015,6,1,CT,OUT,CT1-06-OT,FALSE,AC,FALSE,NA,FALSE,0.092,NA,NA,NA,7.782,NA,NA,8.45,U,NA,NA,NA,NA,1389.333,21438.24,ISC,Bubbler,Siphon,7 V,1972.318,#VALUE!,#VALUE!,#VALUE!,166832.384,#VALUE!,#VALUE!,181153.128,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,29784861.45,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of CT1 I 6 bottles 1, 2, 3, 4, 5. Original NH4 values, 0.02,0,0,0,0"
8/31/2015,2015,6,1,CT,OUT,CT1-06-OT,FALSE,TRUE,FALSE,NA,FALSE,0.09,0.837,NA,0.815,7.91,NA,NA,8.5,0.01,0.015,NA,NA,NA,2680,21438.24,ISC,Bubbler,Siphon,7 V,1929.442,17943.807,#VALUE!,17472.166,169576.478,#VALUE!,#VALUE!,182225.04,214.382,321.574,#VALUE!,#VALUE!,#VALUE!,57454483.2,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",
8/31/2015,2015,6,1,MT,OUT,MT1-06-OT,FALSE,AC,FALSE,NA,FALSE,0.058,NA,NA,NA,7.265,NA,NA,8.683,U,NA,NA,NA,NA,189.167,3092.35,ISC,Bubbler,Siphon,10 V,177.81,#VALUE!,#VALUE!,#VALUE!,22465.923,#VALUE!,#VALUE!,26849.329,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,584969.544,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of MT1 I 6 bottles 1, 2, 3, 4. Original NH4 values, 0,0.01,0,0"
8/31/2015,2015,6,1,MT,OUT,MT1-06-OT,FALSE,TRUE,FALSE,NA,FALSE,0.06,0.205,NA,0.228,7.78,NA,NA,8.65,0.01,0.008,NA,NA,NA,346.667,3092.35,ISC,Bubbler,Siphon,10 V,185.541,633.932,#VALUE!,705.056,24058.483,#VALUE!,#VALUE!,26748.828,30.924,24.739,#VALUE!,#VALUE!,#VALUE!,1072014.677,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",
8/31/2015,2015,6,1,ST,OUT,ST1-06-OT,FALSE,AC,FALSE,NA,FALSE,0.07,NA,NA,NA,7.44,NA,NA,8.725,U,NA,NA,NA,NA,155,10658.56,ISC,Bubbler,Siphon,7 V,746.099,#VALUE!,#VALUE!,#VALUE!,79299.686,#VALUE!,#VALUE!,92995.936,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1652076.8,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of ST1 I 6 bottles 1, 2, 3, 4. Original NH4 values, 0.02,0.02,0,0"
8/31/2015,2015,6,1,ST,OUT,ST1-06-OT,FALSE,TRUE,FALSE,NA,FALSE,0.08,0.191,NA,0.121,8.4,NA,NA,8.8,0.01,0.005,NA,NA,NA,86.667,10658.56,ISC,Bubbler,Siphon,7 V,852.685,2035.785,#VALUE!,1289.686,89531.904,#VALUE!,#VALUE!,93795.328,106.586,53.293,#VALUE!,#VALUE!,#VALUE!,923741.902,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",
9/1/2015,2015,6,2,CT,OUT,CT2-06-OT,FALSE,AC,FALSE,NA,FALSE,0.058,NA,NA,NA,7.718,NA,NA,8.436,0.014,NA,NA,NA,NA,1642.667,18890.94,ISC,Bubbler,Siphon,7 V,1095.675,#VALUE!,#VALUE!,#VALUE!,145800.275,#VALUE!,#VALUE!,159363.97,264.473,#VALUE!,#VALUE!,#VALUE!,#VALUE!,31031517.47,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of CT2 I 6 bottles 1, 2, 3, 4, 5"
9/1/2015,2015,6,2,CT,OUT,CT2-06-OT,FALSE,TRUE,FALSE,NA,FALSE,0.06,1.181,NA,0.778,7.31,NA,NA,8.46,0.01,0.019,NA,NA,NA,1740,18890.94,ISC,Bubbler,Siphon,7 V,1133.456,22310.2,#VALUE!,14697.151,138092.771,#VALUE!,#VALUE!,159817.352,188.909,358.928,#VALUE!,#VALUE!,#VALUE!,32870235.6,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",
9/1/2015,2015,6,2,MT,OUT,MT2-06-OT,FALSE,AC,FALSE,NA,FALSE,0.058,NA,NA,NA,8.138,NA,NA,8.65,U,NA,NA,NA,NA,109.167,5268.72,ISC,Bubbler,Siphon,10 V,302.951,#VALUE!,#VALUE!,#VALUE!,42874.209,#VALUE!,#VALUE!,45574.428,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,575168.591,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of MT2 I 6 bottles 1, 2, 3, 4. Original NH4 values, 0,0,0.01,0.01"
9/1/2015,2015,6,2,MT,OUT,MT2-06-OT,FALSE,TRUE,FALSE,NA,FALSE,0.06,0.164,NA,0.22,7.68,NA,NA,8.63,0.01,0.002,NA,NA,NA,140,5268.72,ISC,Bubbler,Siphon,10 V,316.123,864.07,#VALUE!,1159.118,40463.77,#VALUE!,#VALUE!,45469.054,52.687,10.537,#VALUE!,#VALUE!,#VALUE!,737620.8,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",
9/1/2015,2015,6,2,ST,OUT,ST2-06-OT,FALSE,AC,FALSE,NA,FALSE,0.068,NA,NA,NA,8.05,NA,NA,8.67,0.023,NA,NA,NA,NA,155,10037.82,ISC,Bubbler,Siphon,7 V,677.553,#VALUE!,#VALUE!,#VALUE!,80804.451,#VALUE!,#VALUE!,87027.899,225.851,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1555862.125,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of ST2 I 6 bottles 1, 2, 3, 4"
9/1/2015,2015,6,2,ST,OUT,ST2-06-OT,FALSE,TRUE,FALSE,NA,FALSE,0.06,0.232,NA,0.115,6.43,NA,NA,8.46,0.01,0.009,NA,NA,NA,160,10037.82,ISC,Bubbler,Siphon,7 V,602.269,2328.774,#VALUE!,1154.349,64543.183,#VALUE!,#VALUE!,84919.957,100.378,90.34,#VALUE!,#VALUE!,#VALUE!,1606051.2,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",
6/7/2016,2016,1,1,CT,INF,INF-01-GB,FALSE,AC,FALSE,NA,FALSE,U,0.003,NA,0.014,5.088,NA,NA,4.953,0.048,0.002,NA,5.33,NA,27.085,259697.49,GB,7.0 L Bucket,Siphon,NA,#VALUE!,649.244,#VALUE!,3635.765,1321210.98,#VALUE!,#VALUE!,1286151.819,12335.631,389.546,#VALUE!,1384187.622,#VALUE!,7033906.517,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of Inflow rep 1, 2, 3, 4. Original OP values, 0, 0, 0.03, 0. Rep 1 & 2 samples were collected on 6/7/2016, but sampling was reset to be collected on 6/8/2016 (See Irrigation Master List 2016). Inflow volumes are high but are deemed to be correct due to increased irr. length (18.25 hours) and checked by the CSU irrigation handbook calculations. "
6/7/2016,2016,1,1,MT,INF,INF-01-GB,FALSE,AC,FALSE,NA,FALSE,U,0.003,NA,0.014,5.088,NA,NA,4.953,0.048,0.002,NA,5.33,NA,27.085,252007.84,GB,7.0 L Bucket,Siphon,NA,#VALUE!,630.02,#VALUE!,3528.11,1282089.886,#VALUE!,#VALUE!,1248068.828,11970.372,378.012,#VALUE!,1343201.787,#VALUE!,6825632.346,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of Inflow rep 1, 2, 3, 4. Original OP values, 0, 0, 0.03, 0. Rep 1 & 2 samples were collected on 6/7/2016, but sampling was reset to be collected on 6/8/2016 (See Irrigation Master List 2016). Inflow volumes are high but are deemed to be correct due to increased irr. length (18.25 hours) and checked by the CSU irrigation handbook calculations. "
6/7/2016,2016,1,1,ST,INF,INF-01-GB,FALSE,AC,FALSE,NA,FALSE,U,0.003,NA,0.014,5.088,NA,NA,4.953,0.048,0.002,NA,5.33,NA,27.085,260618.71,GB,7.0 L Bucket,Siphon,NA,#VALUE!,651.547,#VALUE!,3648.662,1325897.687,#VALUE!,#VALUE!,1290714.161,12379.389,390.928,#VALUE!,1389097.724,#VALUE!,7058857.76,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of Inflow rep 1, 2, 3, 4. Original OP values, 0, 0, 0.03, 0. Rep 1 & 2 samples were collected on 6/7/2016, but sampling was reset to be collected on 6/8/2016 (See Irrigation Master List 2016). Inflow volumes are high but are deemed to be correct due to increased irr. length (18.25 hours) and checked by the CSU irrigation handbook calculations. "
6/8/2016,2016,1,2,CT,INF,INF-01-GB,FALSE,AC,FALSE,NA,FALSE,U,0.003,NA,0.014,5.088,NA,NA,4.953,0.048,0.002,NA,5.33,NA,27.085,249743.63,GB,7.0 L Bucket,Siphon,NA,#VALUE!,624.359,#VALUE!,3496.411,1270570.718,#VALUE!,#VALUE!,1236855.328,11862.822,374.615,#VALUE!,1331133.548,#VALUE!,6764306.219,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of Inflow rep 1, 2, 3, 4. Original OP values, 0, 0, 0.03, 0. Rep 1 & 2 samples were collected on 6/7/2016, but sampling was reset to be collected on 6/8/2016 (See Irrigation Master List 2016). Inflow volumes are high but are deemed to be correct due to increased irr. length (18.25 hours) and checked by the CSU irrigation handbook calculations. "
6/8/2016,2016,1,2,MT,INF,INF-01-GB,FALSE,AC,FALSE,NA,FALSE,U,0.003,NA,0.014,5.088,NA,NA,4.953,0.048,0.002,NA,5.33,NA,27.085,245126.21,GB,7.0 L Bucket,Siphon,NA,#VALUE!,612.816,#VALUE!,3431.767,1247079.593,#VALUE!,#VALUE!,1213987.555,11643.495,367.689,#VALUE!,1306522.699,#VALUE!,6639243.398,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of Inflow rep 1, 2, 3, 4. Original OP values, 0, 0, 0.03, 0. Rep 1 & 2 samples were collected on 6/7/2016, but sampling was reset to be collected on 6/8/2016 (See Irrigation Master List 2016). Inflow volumes are high but are deemed to be correct due to increased irr. length (18.25 hours) and checked by the CSU irrigation handbook calculations. "
6/8/2016,2016,1,2,ST,INF,INF-01-GB,FALSE,AC,FALSE,NA,FALSE,U,0.003,NA,0.014,5.088,NA,NA,4.953,0.048,0.002,NA,5.33,NA,27.085,247320.4,GB,7.0 L Bucket,Siphon,NA,#VALUE!,618.301,#VALUE!,3462.486,1258242.535,#VALUE!,#VALUE!,1224854.281,11747.719,370.981,#VALUE!,1318217.732,#VALUE!,6698673.034,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of Inflow rep 1, 2, 3, 4. Original OP values, 0, 0, 0.03, 0. Rep 1 & 2 samples were collected on 6/7/2016, but sampling was reset to be collected on 6/8/2016 (See Irrigation Master List 2016). Inflow volumes are high but are deemed to be correct due to increased irr. length (18.25 hours) and checked by the CSU irrigation handbook calculations. "
6/7/2016,2016,1,1,CT,OUT,CT1-01-OT,FALSE,AC,FALSE,NA,FALSE,0.054,0.005,NA,0.136,5.153,NA,NA,4.942,U,0.003,NA,6.6745,NA,713.03,57325.34,ISC,Bubbler,Siphon,7 V,3074.723,286.627,#VALUE!,7781.915,295381.838,#VALUE!,#VALUE!,283301.825,#VALUE!,171.976,#VALUE!,382620.581,#VALUE!,40874686.47,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of CT1 I1 Time 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 7-D. TP, TKN, TSP average of CT I1 T1, 5, 10, 7-D. Original ammonium values, 0.77,0,0.01,0.01,0,0.06,0.05,0.11,0.05,0.03,0.04"
6/7/2016,2016,1,1,CT,OUT,CT1-01-OT,FALSE,TRUE,FALSE,NA,FALSE,0.08,0.005,NA,0.299,5.35,NA,NA,4.88,0.02,0.001,NA,5.48,NA,2655,57325.34,ISC,Bubbler,Siphon,7 V,4586.027,286.627,#VALUE!,17140.276,306690.564,#VALUE!,#VALUE!,279747.654,1146.507,57.325,#VALUE!,314142.858,#VALUE!,152198775,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",
6/7/2016,2016,1,1,MT,OUT,MT1-01-OT,FALSE,AC,FALSE,NA,FALSE,0.033,0.02,NA,0.127,5.149,NA,NA,4.794,0.057,0.005,NA,7.0714,NA,301.667,9890.96,ISC,Bubbler,Siphon,10 V,324.989,195.346,#VALUE!,1253.679,50924.324,#VALUE!,#VALUE!,47420.098,565.198,49.455,#VALUE!,69943.231,#VALUE!,2983778.247,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of MT1 I1 Time 1, 2, 3, 4, 5, 6, 4-D. TP, TKN, TSP average of T 1, 2, 4, 6"
6/7/2016,2016,1,1,MT,OUT,MT1-01-OT,FALSE,TRUE,FALSE,NA,FALSE,0.03,0.004,NA,0.131,5.08,NA,NA,4.96,0.11,0.002,NA,6.35,NA,151.67,9890.96,ISC,Bubbler,Siphon,10 V,296.729,39.564,#VALUE!,1295.716,50246.087,#VALUE!,#VALUE!,49059.172,1088.006,19.782,#VALUE!,62807.609,#VALUE!,1500162.207,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",
6/7/2016,2016,1,1,ST,OUT,ST1-01-OT,FALSE,AC,FALSE,NA,FALSE,0.03,0.005,NA,0.15,5.147,NA,NA,4.892,0.049,0.003,NA,6.3811,NA,263.959,34697.1,ISC,Bubbler,Siphon,7 V,1040.913,173.485,#VALUE!,5187.216,178574.382,#VALUE!,#VALUE!,169745.899,1696.302,104.091,#VALUE!,221406.018,#VALUE!,9158601.825,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average ofST1 I1 Time 1, 2, 3, 4, 5, 6, 7, 8, 5-D. TP, TKN, TSP average of T 1, 2, 5,  7, 8, 5-D"
6/7/2016,2016,1,1,ST,OUT,ST1-01-OT,FALSE,TRUE,FALSE,NA,FALSE,0.03,0.011,NA,0.099,5.1,NA,NA,5.02,0.05,0.006,NA,5.29,NA,171.67,34697.1,ISC,Bubbler,Siphon,7 V,1040.913,381.668,#VALUE!,3435.012,176955.185,#VALUE!,#VALUE!,174179.417,1734.855,208.183,#VALUE!,183547.633,#VALUE!,5956450.299,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",
6/8/2016,2016,1,2,CT,OUT,CT2-01-OT,FALSE,AC,FALSE,NA,FALSE,0.051,0.087,NA,U,5.212,NA,NA,4.976,0.495,0.012,NA,10.3882,NA,631.516,27468.5,ISC,Bubbler,Siphon,7 V,1398.396,2400.747,#VALUE!,#VALUE!,143160.838,#VALUE!,#VALUE!,136693.254,13609.394,324.128,#VALUE!,285347.793,#VALUE!,17346808.5,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of CT2 I1 Time 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 6-D. TP, TKN, TSP average of CT I1 T1, 2, 6, 10, 6-D. Original TKN values, 0.127,0.118,0.048,0.073,0"
6/8/2016,2016,1,2,CT,OUT,CT2-01-OT,FALSE,TRUE,FALSE,NA,FALSE,0.09,0.009,NA,0.08,4.66,NA,NA,4.95,0.47,0.005,NA,9.38,NA,708.33,27468.5,ISC,Bubbler,Siphon,7 V,2472.165,247.217,#VALUE!,2197.48,128003.219,#VALUE!,#VALUE!,135969.085,12910.196,137.343,#VALUE!,257654.549,#VALUE!,19456764.02,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",
6/8/2016,2016,1,2,MT,OUT,MT2-01-OT,FALSE,AC,FALSE,NA,FALSE,0.033,0.067,NA,0.126,5.108,NA,NA,4.93,0.068,0.009,NA,7.375,NA,336.665,5164.63,ISC,Bubbler,Siphon,10 V,167.851,347.752,#VALUE!,649.022,26378.363,#VALUE!,#VALUE!,25461.641,348.613,46.482,#VALUE!,38089.168,#VALUE!,1738751.169,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of MT2 I1 Time 1, 2, 3, 2-D. TP, TKN, TSP average of CT I1 T1, 2, 2-D"
6/8/2016,2016,1,2,MT,OUT,MT2-01-OT,FALSE,TRUE,FALSE,NA,FALSE,0.03,0.314,NA,0.07,5.07,NA,NA,4.76,0.009,0.031,NA,6.83,NA,305,5164.63,ISC,Bubbler,Siphon,10 V,154.939,1621.695,#VALUE!,361.524,26184.689,#VALUE!,#VALUE!,24583.653,46.482,160.104,#VALUE!,35274.443,#VALUE!,1575213.065,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",
6/8/2016,2016,1,2,ST,OUT,ST2-01-OT,FALSE,TRUE,FALSE,NA,FALSE,0.037,0.004,NA,0.157,5.16,NA,NA,4.945,0.048,0.002,NA,6.22,NA,407.143,22526.43,ISC,Bubbler,Siphon,7 V,825.969,78.842,#VALUE!,3536.649,116236.368,#VALUE!,#VALUE!,111393.186,1088.777,39.421,#VALUE!,140114.382,#VALUE!,9171474.257,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of ST2 I1 Time 1, 2, 3, 4, 5, 6. TSS, TP, TKN, TSP average of ST I1 T1, 2, 4, 4-D"
6/8/2016,2016,1,2,ST,OUT,ST2-01-OT,FALSE,TRUE,FALSE,NA,FALSE,0.03,0.006,NA,0.131,5.2,NA,NA,4.87,0.05,0.002,NA,7.08,NA,610,22526.43,ISC,Bubbler,Siphon,7 V,675.793,135.159,#VALUE!,2950.962,117137.426,#VALUE!,#VALUE!,109703.704,1126.321,45.053,#VALUE!,159487.11,#VALUE!,13741121.08,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",
6/19/2016,2016,2,1,CT,INF,INF-02-GB,FALSE,AC,FALSE,NA,FALSE,0.01,NA,NA,NA,4.8,NA,NA,4.54,0.145,NA,NA,4.405,NA,NA,108695.2,GB,7.0 L Bucket,Siphon,NA,1086.952,#VALUE!,#VALUE!,#VALUE!,521736.96,#VALUE!,#VALUE!,493476.208,15760.804,#VALUE!,#VALUE!,478802.356,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of Inflow I2 Time 1, 2"
6/19/2016,2016,2,1,MT,INF,INF-02-GB,FALSE,AC,FALSE,NA,FALSE,0.01,NA,NA,NA,4.8,NA,NA,4.54,0.145,NA,NA,4.405,NA,NA,118520.02,GB,7.0 L Bucket,Siphon,NA,1185.2,#VALUE!,#VALUE!,#VALUE!,568896.096,#VALUE!,#VALUE!,538080.891,17185.403,#VALUE!,#VALUE!,522080.688,#VALUE!,#VALUE!,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC) ","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of Inflow I2 Time 1, 2"
