_wq_idx,Date,Year,Irrigation,Rep,Treatment,InflowOutflow,SampleID,FF,Composite,Duplicate,Flag,NoRunoff,Volume,SampleMethod,MeasureMethod,IrrMethod,FlumeMethod,TSSMethod,Lab,Notes,Analyte,Result_mg_L,Inflow_Result_mg_L,Inflow_Flag,Inflow_Volume,Has_Inflow,MDL_Provided,RL_Provided,RLMDL_Provided_Units,RLMDL_Method,MDL_mg_L,RL_mg_L,RLMDL_Source,RLMDL_Assumed,PlantDate,HarvestDate,SeasonYear,Crop,PreviousHarvestDate,previous_crop,CumAll_STIR_toDate,Season_STIR_toDate,Season_STIR_StartDate,Season_STIR_LeftCensored,Season_STIR_BoundaryDayCarryover,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n,Result_is_nd,Result_mg_L_cens,Result_lod_mg_L,Inflow_is_nd,Inflow_Result_mg_L_cens,Inflow_lod_mg_L,analyte_abbr,cout_z,cin_z,stir_season_z,stir_cumall_z,volume_z,IRR_z,inflow_volume_z,residue_prop,residue_obs,ObservationDate,DayOfYear,DaysSincePlant,DaysUntilHarvest,IrrigationInfrastructure,PhysicalEventID,ConcentrationObservationID,EventDate,y_logC,y_logV,Result_mg_L_model_pred,Result_mg_L_model_pi_low,Result_mg_L_model_pi_high,Volume_model_pred,Volume_model_pi_low,Volume_model_pi_high,Result_mg_L_pred,Result_mg_L_pi_low,Result_mg_L_pi_high,q_conformal_logC,Volume_pred,Volume_pi_low,Volume_pi_high,q_conformal_logV,Result_mg_L_filled,Volume_filled
5126,2022-09-06,2022,8,1,CT,OUT,,True,,False,,,,GB,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",Nitrate,,,,93265.31,False,0.19,0.2,MG/L,EPA300.0 [300Nitrate]_W,0.19,0.2,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,0.2,0,,0.2,NO3,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_74e06e9fbf9e88254ac4,2022-09-06,,,2.9976407867561585,0.9326189283277746,7.269158304148606,14003.307877146235,1313.6474859115851,149180.16165711798,2.9976407867561585,0.9326189283277746,7.269158304148606,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,2.9976407867561585,14003.307877146235
5132,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",Nitrate,,,,93265.31,False,0.19,0.2,MG/L,EPA300.0 [300Nitrate]_W,0.19,0.2,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,0.2,0,,0.2,NO3,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_a77b3237cb73acfb0e31,2022-09-06,,,2.679826217546789,0.7789746954123999,6.6117558199475255,14003.307877146235,1313.6474859115851,149180.16165711798,2.679826217546789,0.7789746954123999,6.6117558199475255,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,2.679826217546789,14003.307877146235
5133,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",Nitrate,,,,93265.31,False,0.19,0.2,MG/L,EPA300.0 [300Nitrate]_W,0.19,0.2,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,0.2,0,,0.2,NO3,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_609902f4bc8cf2fe4ddb,2022-09-06,,,2.679826217546789,0.7789746954123999,6.6117558199475255,14003.307877146235,1313.6474859115851,149180.16165711798,2.679826217546789,0.7789746954123999,6.6117558199475255,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,2.679826217546789,14003.307877146235
6237,2022-09-06,2022,8,1,CT,OUT,,True,,False,,,,GB,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",Nitrite,,,,93265.31,False,0.11,0.15,MG/L,EPA300.0 [300Nitrite]_W,0.11,0.15,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,0.15,0,,0.15,NO2,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_50aa667977a7ea4f2b45,2022-09-06,,,0.12654287903352449,0.0,1.3302647486490544,14003.307877146235,1313.6474859115851,149180.16165711798,0.12654287903352449,0.0,1.3302647486490544,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.12654287903352449,14003.307877146235
6243,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",Nitrite,,,,93265.31,False,0.11,0.15,MG/L,EPA300.0 [300Nitrite]_W,0.11,0.15,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,0.15,0,,0.15,NO2,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_de3ab843c46b152ce475,2022-09-06,,,0.12456133388587708,0.0,1.326165903508441,14003.307877146235,1313.6474859115851,149180.16165711798,0.12456133388587708,0.0,1.326165903508441,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.12456133388587708,14003.307877146235
6244,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",Nitrite,,,,93265.31,False,0.11,0.15,MG/L,EPA300.0 [300Nitrite]_W,0.11,0.15,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,0.15,0,,0.15,NO2,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_ff2fbb2c3bff60dda450,2022-09-06,,,0.12456133388587708,0.0,1.326165903508441,14003.307877146235,1313.6474859115851,149180.16165711798,0.12456133388587708,0.0,1.326165903508441,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.12456133388587708,14003.307877146235
7348,2022-09-06,2022,8,1,CT,OUT,,True,,False,,,,GB,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",NitrateNitrite,,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,NOx,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_14b76d13a16412aeac0d,2022-09-06,,,1.3366095957719257,0.12961023107966896,3.833299356571053,14003.307877146235,1313.6474859115851,149180.16165711798,1.3366095957719257,0.12961023107966896,3.833299356571053,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,1.3366095957719257,14003.307877146235
7354,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",NitrateNitrite,,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,NOx,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_12077533594ac43c9547,2022-09-06,,,0.9787010753367102,0.0,3.0929621497646504,14003.307877146235,1313.6474859115851,149180.16165711798,0.9787010753367102,0.0,3.0929621497646504,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.9787010753367102,14003.307877146235
7355,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",NitrateNitrite,,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,NOx,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_6bd54958b48209de99ae,2022-09-06,,,0.9787010753367102,0.0,3.0929621497646504,14003.307877146235,1313.6474859115851,149180.16165711798,0.9787010753367102,0.0,3.0929621497646504,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.9787010753367102,14003.307877146235
8459,2022-09-06,2022,8,1,CT,OUT,,True,,False,,,,GB,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",TotalN,,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,TN,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_b71e3f9398381b230c89,2022-09-06,,,1.7217436244929867,0.31579937451529605,4.62995278835505,14003.307877146235,1313.6474859115851,149180.16165711798,1.7217436244929867,0.31579937451529605,4.62995278835505,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,1.7217436244929867,14003.307877146235
8465,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",TotalN,,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,TN,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_bbdd91b14d4efbd1deb2,2022-09-06,,,1.1431168132627891,0.03606810613166857,3.4330576803856925,14003.307877146235,1313.6474859115851,149180.16165711798,1.1431168132627891,0.03606810613166857,3.4330576803856925,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,1.1431168132627891,14003.307877146235
8466,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",TotalN,,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,TN,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_5e6a68690ab43507b80c,2022-09-06,,,1.1431168132627891,0.03606810613166857,3.4330576803856925,14003.307877146235,1313.6474859115851,149180.16165711798,1.1431168132627891,0.03606810613166857,3.4330576803856925,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,1.1431168132627891,14003.307877146235
9570,2022-09-06,2022,8,1,CT,OUT,,True,,False,,,,GB,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",Ammonium(NH4),,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,NH4,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_0bf5f896544da6d0c594,2022-09-06,,,0.09183095869729928,0.0,1.2584628085517413,14003.307877146235,1313.6474859115851,149180.16165711798,0.09183095869729928,0.0,1.2584628085517413,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.09183095869729928,14003.307877146235
9576,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",Ammonium(NH4),,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,NH4,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_e81c1b9b7651f5e2a361,2022-09-06,,,0.0,0.0,1.0176350683887683,14003.307877146235,1313.6474859115851,149180.16165711798,0.0,0.0,1.0176350683887683,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.0,14003.307877146235
9577,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",Ammonium(NH4),,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,NH4,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_d0ffa3b8cf4c96239292,2022-09-06,,,0.0,0.0,1.0176350683887683,14003.307877146235,1313.6474859115851,149180.16165711798,0.0,0.0,1.0176350683887683,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.0,14003.307877146235
10681,2022-09-06,2022,8,1,CT,OUT,,True,,False,,,,GB,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",TSP,,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,TSP,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_e9c80a40f4a06237d79b,2022-09-06,,,0.09344498668019278,0.0,1.2618014409126297,14003.307877146235,1313.6474859115851,149180.16165711798,0.09344498668019278,0.0,1.2618014409126297,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.09344498668019278,14003.307877146235
10687,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",TSP,,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,TSP,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_39cac03dfa26bae42aeb,2022-09-06,,,0.0,0.0,1.0176350683887683,14003.307877146235,1313.6474859115851,149180.16165711798,0.0,0.0,1.0176350683887683,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.0,14003.307877146235
10688,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",TSP,,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,TSP,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_1ef4d1f7f71c3406ffe6,2022-09-06,,,0.0,0.0,1.0176350683887683,14003.307877146235,1313.6474859115851,149180.16165711798,0.0,0.0,1.0176350683887683,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.0,14003.307877146235
11792,2022-09-06,2022,8,1,CT,OUT,,True,,False,,,,GB,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",Selenium,,,,93265.31,False,,1.5,UG/L,EPA200.8 [SE200.8]_W,,0.0015,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,0.0015,0,,0.0015,Se,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_5f36799f6d408d2c59d3,2022-09-06,,,0.030538847979482617,0.0,1.1316794897502804,14003.307877146235,1313.6474859115851,149180.16165711798,0.030538847979482617,0.0,1.1316794897502804,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.030538847979482617,14003.307877146235
11798,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",Selenium,,,,93265.31,False,,1.5,UG/L,EPA200.8 [SE200.8]_W,,0.0015,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,0.0015,0,,0.0015,Se,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_d19244776836a8a2523a,2022-09-06,,,0.01350458083546637,0.0,1.096443944806952,14003.307877146235,1313.6474859115851,149180.16165711798,0.01350458083546637,0.0,1.096443944806952,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.01350458083546637,14003.307877146235
11799,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",Selenium,,,,93265.31,False,,1.5,UG/L,EPA200.8 [SE200.8]_W,,0.0015,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,0.0015,0,,0.0015,Se,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_af4d5d2c4a4bf9727fc3,2022-09-06,,,0.01350458083546637,0.0,1.096443944806952,14003.307877146235,1313.6474859115851,149180.16165711798,0.01350458083546637,0.0,1.096443944806952,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,0.01350458083546637,14003.307877146235
12903,2022-09-06,2022,8,1,CT,OUT,,True,,False,,,,GB,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",NPOC,,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,NPOC,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_0f0033e68e1c15be4239,2022-09-06,,,1.618440429078508,0.265858491513458,4.416269137978878,14003.307877146235,1313.6474859115851,149180.16165711798,1.618440429078508,0.265858491513458,4.416269137978878,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,1.618440429078508,14003.307877146235
12909,2022-09-06,2022,8,1,CT,OUT,,,,False,,,,LC,Etape,Siphon,7 V,,,"From the recorded notes and conversations with Manny, AJ and Erik, it was recalled that water was taking a long time to reach the edge of the field, Erik made a call to not wait to collect samples. it is possible that water did make it to the end of other rows, but not our sample rows. There was a hail event the week before, messed up rows and was flooding the field. It was so messy Erik wasn't convinced samples would be representative",NPOC,,,,93265.31,False,,,,,,,ALS_pre2023,False,2022-04-29,2022-10-24,2022,grain corn,2021-10-22,grain corn,2481.29375,256.47374999999965,2021-10-22,False,0.0,5.666666666666667,0.0081666666666666,3,0,,,0,,,NPOC,,,2.0002396800026423,1.5921492986757586,,2.1563226012610883,-0.3206273901815528,0.0566666666666666,1,2022-09-06,249,130,48,Siphon,PE_ebead115648e1ebda0bb,CO_6d062d0eb980bc684153,2022-09-06,,,1.069416140499147,0.00043826272868395023,3.280607131996292,14003.307877146235,1313.6474859115851,149180.16165711798,1.069416140499147,0.00043826272868395023,3.280607131996292,0.7268283430420093,14003.307877146235,1313.6474859115851,149180.16165711798,2.365796429652071,1.069416140499147,14003.307877146235
