output_file,column,definition,unit,calculation,source
bayes_nonnegative_sensitivity_pub.csv,"Variant A raw lower 95%, kg","Variant a raw lower 95%, kg.",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,"Variant B cumulative, kg [95% interval]","Variant b cumulative, kg [95% interval].",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,"Change in mean, kg (B-A)","Change in mean, kg (b-a).",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,"Change in median, kg (B-A)","Change in median, kg (b-a).",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,"Change in interval width, kg (B-A)","Change in interval width, kg (b-a).",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,Variant A treatment ordering,Variant a treatment ordering.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,Variant B treatment ordering,Variant b treatment ordering.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,Substantive ordering changed,Substantive ordering changed.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,Variant A percent difference vs CT,Variant a percent difference vs ct.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,Variant B percent difference vs CT,Variant b percent difference vs ct.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
bayes_nonnegative_sensitivity_pub.csv,CT-comparison direction changed,Ct-comparison direction changed.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_treatment_raw.csv,analyte,Canonical publication analyte label.,category,Mapped with the recorded alias dictionary.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_treatment_raw.csv,treatment,Management treatment group.,category,"CT, MT, or ST.","See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_treatment_raw.csv,n_years,N years.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_treatment_raw.csv,first_paired_year,First paired year.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_treatment_raw.csv,last_paired_year,Last paired year.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_treatment_raw.csv,spearman_rho,Spearman rho.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_treatment_raw.csv,p_value_unadjusted,P value unadjusted.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_treatment_raw.csv,significant_unadjusted_alpha_0_05,Significant unadjusted alpha 0 05.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_treatment_raw.csv,significance_marker,Significance marker.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_treatment_raw.csv,warning,Warning.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_pub.csv,Analyte,Analyte.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_pub.csv,CT,Ct.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_pub.csv,MT,Mt.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
spearman_by_analyte_pub.csv,ST,St.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_concentration_performance_raw.csv,response,Response.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_concentration_performance_raw.csv,analyte,Canonical publication analyte label.,category,Mapped with the recorded alias dictionary.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_concentration_performance_raw.csv,method,Modeling framework.,category,Assigned from saved source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_concentration_performance_raw.csv,n_paired_annual_values,N paired annual values.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_concentration_performance_raw.csv,rmse_mg_L,Root mean squared concentration error.,mg/L,sqrt(mean((predicted − observed)^2)).,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_concentration_performance_raw.csv,mae_mg_L,Mae mg l.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_concentration_performance_raw.csv,mean_absolute_observed_mg_L,Mean absolute observed mg l.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_concentration_performance_raw.csv,nrmse_mean,Mean-normalized RMSE ratio.,dimensionless,RMSE / mean(abs(observed)).,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_concentration_performance_raw.csv,nrmse_mean_percent,Nrmse mean percent.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_concentration_performance_raw.csv,performance_scope,Performance scope.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_concentration_performance_raw.csv,provisional_qc_flag,Provisional qc flag.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,Analyte,Analyte.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,Treatment,Treatment.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,method,Modeling framework.,category,Assigned from saved source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,n,N.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,MAE,Mae.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,RMSE,Rmse.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,NRMSE_mean,Nrmse mean.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,NRMSE_range,Nrmse range.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,NRMSE_sd,Nrmse sd.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,Coverage,Coverage.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,MeanWidth,Meanwidth.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,IntervalProb,Intervalprob.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,CRPS,Crps.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,mean_abs_obs,Mean abs obs.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_metrics_raw.csv,CRPS_norm_mean,Crps norm mean.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,Analyte,Analyte.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,Treatment,Treatment.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,method,Modeling framework.,category,Assigned from saved source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,n,N.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,MAE,Mae.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,RMSE,Rmse.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,NRMSE_mean,Nrmse mean.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,NRMSE_range,Nrmse range.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,NRMSE_sd,Nrmse sd.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,Coverage,Coverage.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,MeanWidth,Meanwidth.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,IntervalProb,Intervalprob.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,CRPS,Crps.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_load_agreement_by_analyte_raw.csv,CRPS_norm_mean,Crps norm mean.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,Analyte,Analyte.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,Treatment,Treatment.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,method,Modeling framework.,category,Assigned from saved source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,n,N.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,MAE,Mae.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,RMSE,Rmse.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,NRMSE_mean,Nrmse mean.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,NRMSE_range,Nrmse range.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,NRMSE_sd,Nrmse sd.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,Coverage,Coverage.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,MeanWidth,Meanwidth.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,IntervalProb,Intervalprob.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,CRPS,Crps.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
annual_volume_performance_raw.csv,CRPS_norm_mean,Crps norm mean.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
performance_comparison_pub.csv,Response,Response.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
performance_comparison_pub.csv,Method,Method.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
performance_comparison_pub.csv,n,N.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
performance_comparison_pub.csv,RMSE (original unit),Rmse (original unit).,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
performance_comparison_pub.csv,NRMSE_mean (%),Nrmse mean (%).,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
performance_comparison_pub.csv,NRMSE definition,Nrmse definition.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_raw.csv,response,Response.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_raw.csv,unit,Unit.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_raw.csv,Year,Year.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_raw.csv,n,N.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_raw.csv,empirical_coverage,Observed fraction inside saved prediction interval.,proportion,mean(low ≤ observed ≤ high).,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_raw.csv,mean_interval_width,Mean saved prediction-interval width.,unit column,mean(high − low).,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_raw.csv,median_interval_width,Median interval width.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_raw.csv,nominal_coverage,Nominal coverage.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_raw.csv,coverage_minus_nominal,Coverage minus nominal.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_raw.csv,calibration_scope,Calibration scope.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_pub.csv,Response,Response.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_pub.csv,Held-out year,Held-out year.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_pub.csv,Coverage,Coverage.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
loyo_interval_calibration_pub.csv,Interval width,Interval width.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
catboost_feature_importance_raw.csv,response,Response.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
catboost_feature_importance_raw.csv,feature,Feature.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
catboost_feature_importance_raw.csv,importance_mean,Importance mean.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
catboost_feature_importance_raw.csv,importance_sd,Importance sd.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
catboost_feature_importance_raw.csv,feature_label,Feature label.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
catboost_feature_importance_raw.csv,importance_unit,Importance unit.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
catboost_feature_importance_raw.csv,interpretation_warning,Interpretation warning.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
catboost_feature_importance_pub.csv,Response,Response.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
catboost_feature_importance_pub.csv,Feature,Feature.,See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
catboost_feature_importance_pub.csv,"Importance, mean (SD)","Importance, mean (sd).",See column/header,Direct field or documented formatting of raw source.,"See source_file fields, input_audit.csv, and comparison_table_footnotes.md."
